measure_id,ballot_id,state,election_date,election_type,topic,measure_name,description_short,progressive_side,yes_pct,outcome,severity_note,same_ballot_catalog_ids,same_ballot_companions,source_url
az_19961105_proposition_200,AZ_1996-11-05,AZ,1996-11-05,general,cannabis,Proposition 200,A YES vote permits doctors to prescribe Schedule I drugs including marijuana to seriously or terminally ill patients and mandates probation with treatment instead of incarceration for personal drug possession.,yes,65.4,pass,drug medicalization package incl. medical marijuana; probation instead of jail for drug possession,,Proposition 100 — emergency appropriation laws; Proposition 101 — property tax exemptions; Proposition 102 — juvenile prosecution as adults; Proposition 201 — tribal gaming compacts; Proposition 203 — lottery revenue for health programs; Proposition 300 — legislator salary increase,"https://ballotpedia.org/Arizona_Proposition_200,_Controlled_Substances_Criminal_Justice_and_Medical_Prescription_Changes_Initiative_(1996)"
ca_19961105_proposition_215,CA_1996-11-05,CA,1996-11-05,general,cannabis,Proposition 215,A YES vote exempts patients and defined caregivers who possess or cultivate marijuana for medical treatment recommended by a physician from criminal prosecution.,yes,55.6,pass,medical only; first statewide medical marijuana law in the US,ca_19961105_proposition_210,Proposition 204 — water infrastructure bonds; Proposition 205 — correctional facility bonds; Proposition 206 — veterans bond; Proposition 207 — attorneys' fees rules; Proposition 208 — campaign finance limits; Proposition 209 — affirmative action ban; Proposition 210 — minimum wage increase; Proposition 211 — securities fraud lawsuits; Proposition 212 — campaign finance limits; Proposition 213 — uninsured drivers' lawsuit limits; Proposition 214 — healthcare/HMO regulation; Proposition 216 — healthcare/HMO regulation; Proposition 217 — top income tax brackets; Proposition 218 — voter approval for local taxes,"https://ballotpedia.org/California_Proposition_215,_Medical_Marijuana_Initiative_(1996)"
ca_19961105_proposition_210,CA_1996-11-05,CA,1996-11-05,general,labor,Proposition 210,"Raises California's minimum wage to $5.00/hour on March 1, 1997 and $5.75/hour on March 1, 1998.",yes,61.5,pass,"$5.00 (Mar 1997) then $5.75 (Mar 1998); statutory, no inflation indexing",ca_19961105_proposition_215,Proposition 204 - water infrastructure bonds; Proposition 205 - correctional facility bonds; Proposition 206 - veterans farm/home aid bonds; Proposition 207 - attorneys' fees and frivolous lawsuits; Proposition 208 - campaign contribution limits; Proposition 209 - ban on affirmative action preferences; Proposition 211 - securities fraud lawsuit rules; Proposition 212 - campaign finance limits; Proposition 213 - limits lawsuits by uninsured/DUI drivers; Proposition 214 - healthcare business regulation and taxes; Proposition 215 - medical marijuana legalization; Proposition 216 - healthcare business regulation; Proposition 217 - reinstate top income tax brackets for schools; Proposition 218 - voter approval for local taxes and assessments,"https://ballotpedia.org/California_Proposition_210,_Minimum_Wage_Increase_Initiative_(1996)"
mo_19961105_proposition_a,MO_1996-11-05,MO,1996-11-05,general,labor,Proposition A,"Raises Missouri's minimum wage to $6.25 in 1997, $6.50 in 1998, $6.75 in 1999, then adds $0.15 per year from 2000 onward and expands the definition of employee.",yes,28.7,fail,$6.75 by 1999 (well above $4.75 federal) + permanent $0.15/year escalator from 2000; defeated 29-71,,Amendment 3 - facilities maintenance reserve fund transfer; Amendment 5 - create state department of aging; Amendment 6 - municipal sewer bonds and utility regulation; Amendment 7 - budget stabilization fund; Amendment 8 - extend 0.1% sales tax for parks and soil conservation; Amendment 9 - congressional term limits support and ballot notations,"https://ballotpedia.org/Missouri_Proposition_A,_Increase_Minimum_Wage_Initiative_(1996)"
mt_19961105_i_121,MT_1996-11-05,MT,1996-11-05,general,labor,I-121,"Re-establishes a Montana state minimum wage rising from $4.75 in 1997 to $6.25 by 2000, above the $4.25 federal minimum, excluding tips.",yes,43.5,fail,$4.25 to $6.25 by 2000 in four steps; small businesses (<= $110k gross sales) stay at $4.00; defeated 44-56,,C-30 - replace education boards with gubernatorial department; C-31 - workers' comp fund stock investment; C-32 - biennial 90-day legislative sessions; I-122 - ban new cyanide-leach mine permits; I-123 - lawsuits over unlawful threats and common-law liens; I-125 - ban corporate contributions on ballot issues; I-132 - term limits ballot notation for candidates,"https://ballotpedia.org/Montana_I-121,_Minimum_Wage_Increase_Initiative_(1996)"
or_19961105_measure_36,OR_1996-11-05,OR,1996-11-05,general,labor,Measure 36,"Raises Oregon's minimum wage from $4.75 to $5.50 in 1997, $6.00 in 1998, and $6.50 in 1999.",yes,56.9,pass,"$6.50 by 1999 in three annual steps; statutory, no indexing",or_19961105_measure_43,"Measure 26 - crime punishment constitutional language; Measure 27 - legislative authority over agency rules; Measure 28 - repeal residency requirement for veterans' loans; Measure 29 - governor's appointees vacate office after term; Measure 30 - state must pay for mandates on local government; Measure 31 - obscenity gets no more protection than US Constitution; Measure 32 - lottery bonds for Portland light rail; Measure 33 - protect initiative laws from legislative change; Measure 34 - wildlife commission authority, repeal bear/cougar hunting limits; Measure 35 - limit healthcare provider pay bases; Measure 37 - expand bottle deposits and recycling; Measure 38 - restrict livestock access to waterways; Measure 39 - right to chosen category of healthcare provider; Measure 40 - crime victims' rights amendment; Measure 41 - express public employee earnings as employer costs; Measure 42 - annual standardized testing grades 4-12; Measure 43 - reinstate collective bargaining for public safety employees; Measure 44 - cigarette and tobacco tax increase for health plan; Measure 45 - raise public employee retirement age, cut benefits; Measure 46 - registered-voter majority required for tax measures; Measure 47 - property tax limits and voter approval; Measure 48 - instruct legislators to support congressional term limits","https://ballotpedia.org/Oregon_Measure_36,_Minimum_Wage_Increase_to_$6.50_Initiative_(1996)"
or_19961105_measure_43,OR_1996-11-05,OR,1996-11-05,general,labor,Measure 43,"Reinstates the collective bargaining law in effect before the legislature's 1995 rollback for police, fire, correctional, and emergency-dispatch employees, keeping the strike prohibition.",yes,43.6,fail,"Restores pre-1995 bargaining scope, unionization categories, and arbitration process for public safety workers only; defeated 44-56",or_19961105_measure_36,"Measure 26 - crime punishment constitutional language; Measure 27 - legislative authority over agency rules; Measure 28 - repeal residency requirement for veterans' loans; Measure 29 - governor's appointees vacate office after term; Measure 30 - state must pay for mandates on local government; Measure 31 - obscenity gets no more protection than US Constitution; Measure 32 - lottery bonds for Portland light rail; Measure 33 - protect initiative laws from legislative change; Measure 34 - wildlife commission authority, repeal bear/cougar hunting limits; Measure 35 - limit healthcare provider pay bases; Measure 36 - minimum wage increase to $6.50; Measure 37 - expand bottle deposits and recycling; Measure 38 - restrict livestock access to waterways; Measure 39 - right to chosen category of healthcare provider; Measure 40 - crime victims' rights amendment; Measure 41 - express public employee earnings as employer costs; Measure 42 - annual standardized testing grades 4-12; Measure 44 - cigarette and tobacco tax increase for health plan; Measure 45 - raise public employee retirement age, cut benefits; Measure 46 - registered-voter majority required for tax measures; Measure 47 - property tax limits and voter approval; Measure 48 - instruct legislators to support congressional term limits","https://ballotpedia.org/Oregon_Measure_43,_Reinstate_Collective_Bargaining_for_Public_Safety_Workers_Initiative_(1996)"
wa_19971104_initiative_685,WA_1997-11-04,WA,1997-11-04,odd-year general,cannabis,Initiative 685,"A YES vote decriminalizes medical use of Schedule I drugs including marijuana with a doctor's recommendation and provides treatment, education, and community service instead of incarceration for nonviolent drug users.",yes,39.6,fail,drug medicalization package incl. medical marijuana (modeled on AZ Prop 200),,Initiative 673 — health plan provider regulation; Initiative 676 — handgun trigger locks and licensing; Initiative 677 — sexual-orientation employment discrimination ban; Initiative 678 — dental hygienist scope of practice; Referendum 47 — property tax valuation limits; HJR 4208 — school levy duration; HJR 4209 — stormwater and sewer improvement loans,"https://ballotpedia.org/Washington_Marijuana_Decriminalization,_Initiative_685_(1997)"
ak_19981103_measure_2,AK_1998-11-03,AK,1998-11-03,general,marriage,Measure 2,"A YES vote amends the Alaska Constitution to provide that, to be valid or recognized in the state, a marriage may exist only between one man and one woman.",no,68.1,pass,constitutional; bans marriage only,ak_19981103_measure_8,Measure 3 — redistricting board replacing governor-controlled process; Measure 5 — prohibit billboards; Measure 6 — English as official state language; Measure 7 — term-limits pledge notation on ballots; Measure 8 — medical marijuana; Measure 9 — prohibit wolf snares,"https://ballotpedia.org/Alaska_Measure_2,_Definition_of_Marriage_Amendment_(1998)"
ak_19981103_measure_8,AK_1998-11-03,AK,1998-11-03,general,cannabis,Measure 8,A YES vote allows patients with debilitating medical conditions to use marijuana with a doctor's authorization.,yes,58.7,pass,medical only,ak_19981103_measure_2,Measure 2 — define marriage as man-woman; Measure 3 — redistricting board; Measure 5 — billboard ban; Measure 6 — English as official language; Measure 7 — term limits pledge; Measure 9 — wolf snare ban,"https://ballotpedia.org/Alaska_Measure_8,_Medical_Marijuana_Act_Initiative_(1998)"
